event_key,event_time,event_type,planet,channel_start,channel_end,run_length,channels,min_delta_db,max_delta_db,mean_delta_db
1974-09-08 01:29:06.109|1974-09-08 01:29:08.034|DISAPPEARANCE,1974-09-08 01:29:08.034,DISAPPEARANCE,Fornax-A,2,4,3,"2,3,4",0.5452899860923023,0.7313892740576022,0.6599695622890206
1974-09-08 01:29:06.109|1974-09-08 01:29:08.034|DISAPPEARANCE,1974-09-08 01:29:08.034,DISAPPEARANCE,Fornax-A,7,9,3,"7,8,9",0.5240312993929854,2.7783596942978788,1.4983619207194205
1974-09-10 00:15:44.047|1974-09-10 00:18:07.811|REAPPEARANCE,1974-09-10 00:18:07.811,REAPPEARANCE,Fornax-A,2,9,8,"2,3,4,5,6,7,8,9",0.6568658778915923,6.808410801428259,2.3649467138092053
1974-09-10 12:40:19.366|1974-09-10 12:40:21.291|DISAPPEARANCE,1974-09-10 12:40:21.291,DISAPPEARANCE,Fornax-A,1,3,3,"1,2,3",1.161215771254847,3.0254036838155174,2.060655886944705
1974-09-10 13:25:15.028|1974-09-10 13:26:35.636|REAPPEARANCE,1974-09-10 13:26:35.636,REAPPEARANCE,Fornax-A,3,5,3,"3,4,5",1.3489987004066775,4.4068313245377135,2.5697753807598214
1974-09-10 16:22:16.253|1974-09-10 16:22:18.178|DISAPPEARANCE,1974-09-10 16:22:18.178,DISAPPEARANCE,Fornax-A,1,3,3,"1,2,3",1.088058997105508,3.0284524719617534,1.9998842245380015
1974-09-10 16:22:16.253|1974-09-10 16:22:18.178|DISAPPEARANCE,1974-09-10 16:22:18.178,DISAPPEARANCE,Fornax-A,5,8,4,"5,6,7,8",5.420352486503912,13.636507632213934,9.47204677438399
1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|REAPPEARANCE,1974-09-11 00:00:03.257,REAPPEARANCE,Fornax-A,2,7,6,"2,3,4,5,6,7",1.0679146089061677,3.716355512188975,2.2582898943262375
1974-09-11 00:14:40.928|1974-09-11 00:17:04.655|DISAPPEARANCE,1974-09-11 00:17:04.655,DISAPPEARANCE,Fornax-A,2,7,6,"2,3,4,5,6,7",0.6899252353211129,6.269992482843567,2.908519827715695
1974-09-11 04:14:15.421|1974-09-11 04:14:17.346|REAPPEARANCE,1974-09-11 04:14:17.346,REAPPEARANCE,Fornax-A,1,5,5,"1,2,3,4,5",0.6589407988772984,5.442386898639099,3.2903101620653423
1974-09-11 10:51:52.832|1974-09-11 10:51:56.642|DISAPPEARANCE,1974-09-11 10:51:56.642,DISAPPEARANCE,Fornax-A,1,3,3,"1,2,3",3.400319736474949,5.284889655476851,4.238160625137158
1974-09-11 11:38:07.177|1974-09-11 11:38:09.102|REAPPEARANCE,1974-09-11 11:38:09.102,REAPPEARANCE,Fornax-A,1,4,4,"1,2,3,4",2.1193238916695827,4.672125831224231,3.533927586808291
1974-09-11 14:33:49.726|1974-09-11 14:33:53.536|DISAPPEARANCE,1974-09-11 14:33:53.536,DISAPPEARANCE,Fornax-A,1,3,3,"1,2,3",0.5286111814016319,1.2623588712300249,0.9120080890790764
1974-09-11 19:02:00.923|1974-09-11 19:02:02.848|REAPPEARANCE,1974-09-11 19:02:02.848,REAPPEARANCE,Fornax-A,5,7,3,"5,6,7",0.8724650933421385,1.5335146902362993,1.3116432033033476
1974-09-12 12:45:26.999|1974-09-12 12:45:28.924|DISAPPEARANCE,1974-09-12 12:45:28.924,DISAPPEARANCE,Fornax-A,4,6,3,"4,5,6",1.601578877329302,3.060474676128356,2.4675675237092847
1974-09-12 13:31:43.272|1974-09-12 13:31:45.197|REAPPEARANCE,1974-09-12 13:31:45.197,REAPPEARANCE,Fornax-A,2,6,5,"2,3,4,5,6",1.1438745766784386,4.282641308549535,2.8039124431266504
1974-09-12 16:27:23.917|1974-09-12 16:27:25.842|DISAPPEARANCE,1974-09-12 16:27:25.842,DISAPPEARANCE,Fornax-A,2,4,3,"2,3,4",1.2349720762366094,3.0535129898393887,2.066639391770218
1974-09-13 03:33:12.846|1974-09-13 03:33:14.771|DISAPPEARANCE,1974-09-13 03:33:14.771,DISAPPEARANCE,Fornax-A,1,3,3,"1,2,3",1.9970534688861403,4.640024105505796,2.9574483958726066
1974-09-13 04:19:29.066|1974-09-13 04:19:30.991|REAPPEARANCE,1974-09-13 04:19:30.991,REAPPEARANCE,Fornax-A,2,6,5,"2,3,4,5,6",0.6057357188456036,3.1938553778440064,1.3493819686075061
1974-09-13 10:57:04.404|1974-09-13 10:57:06.329|DISAPPEARANCE,1974-09-13 10:57:06.329,DISAPPEARANCE,Fornax-A,1,7,7,"1,2,3,4,5,6,7",0.5542746414535489,5.914822256623536,2.5561402538469076
1974-09-13 11:43:16.865|1974-09-13 11:43:20.675|REAPPEARANCE,1974-09-13 11:43:20.675,REAPPEARANCE,Fornax-A,6,9,4,"6,7,8,9",0.5030161173704389,2.757078909172545,1.4268872339145546
1974-09-13 15:25:19.488|1974-09-13 15:25:21.413|REAPPEARANCE,1974-09-13 15:25:21.413,REAPPEARANCE,Fornax-A,2,6,5,"2,3,4,5,6",0.6272356720097404,12.29557588466849,5.126836878842338
1974-09-14 16:32:47.250|1974-09-14 16:32:51.060|DISAPPEARANCE,1974-09-14 16:32:51.060,DISAPPEARANCE,Fornax-A,1,6,6,"1,2,3,4,5,6",1.8625976538119011,7.395223989334849,4.201356430965512
1974-09-14 20:14:44.084|1974-09-14 20:14:47.893|DISAPPEARANCE,1974-09-14 20:14:47.893,DISAPPEARANCE,Fornax-A,5,7,3,"5,6,7",0.5809100429358872,2.4393944808911807,1.3438407870799127
1974-09-14 23:56:40.970|1974-09-14 23:56:44.780|DISAPPEARANCE,1974-09-14 23:56:44.780,DISAPPEARANCE,Fornax-A,1,3,3,"1,2,3",0.7365034167013873,4.365278133023623,2.8452176832393525
1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|REAPPEARANCE,1974-09-14 23:59:56.798,REAPPEARANCE,Fornax-A,1,5,5,"1,2,3,4,5",0.6320648804265917,4.511796082597542,2.0069908375848255
1974-09-15 00:42:49.541|1974-09-15 00:42:51.466|REAPPEARANCE,1974-09-15 00:42:51.466,REAPPEARANCE,Fornax-A,2,5,4,"2,3,4,5",0.6256576669790246,3.187411750445194,1.8531212288518006
1974-09-15 03:38:35.958|1974-09-15 03:38:37.883|DISAPPEARANCE,1974-09-15 03:38:37.883,DISAPPEARANCE,Fornax-A,5,9,5,"5,6,7,8,9",0.5169331012799879,1.5164894098019506,0.8504490122015081
1974-09-15 04:24:42.633|1974-09-15 04:24:46.442|REAPPEARANCE,1974-09-15 04:24:46.442,REAPPEARANCE,Fornax-A,3,5,3,"3,4,5",0.7104647026509826,3.365625258371989,1.8440906125332797
1974-09-15 07:20:32.819|1974-09-15 07:20:34.744|DISAPPEARANCE,1974-09-15 07:20:34.744,DISAPPEARANCE,Fornax-A,3,7,5,"3,4,5,6,7",2.0672222012374015,6.327177709971899,3.927112782679873
1974-09-15 22:08:20.362|1974-09-15 22:08:22.287|DISAPPEARANCE,1974-09-15 22:08:22.287,DISAPPEARANCE,Fornax-A,1,9,9,"1,2,3,4,5,6,7,8,9",1.1386845042657319,14.187672362519837,7.4869849212088155
1974-09-15 22:54:27.055|1974-09-15 22:54:30.865|REAPPEARANCE,1974-09-15 22:54:30.865,REAPPEARANCE,Fornax-A,7,9,3,"7,8,9",1.182341592778863,3.9297006884714447,2.10033032307032
1974-09-16 00:09:26.044|1974-09-16 00:11:49.530|REAPPEARANCE,1974-09-16 00:11:49.530,REAPPEARANCE,Fornax-A,1,5,5,"1,2,3,4,5",6.2341473821390805,7.258457706710743,6.715238720216064
1974-09-16 05:32:14.198|1974-09-16 05:32:16.123|DISAPPEARANCE,1974-09-16 05:32:16.123,DISAPPEARANCE,Fornax-A,5,8,4,"5,6,7,8",0.7510160650412957,4.060514350531166,2.088054576616183
1974-09-16 16:38:05.043|1974-09-16 16:38:06.968|DISAPPEARANCE,1974-09-16 16:38:06.968,DISAPPEARANCE,Fornax-A,2,5,4,"2,3,4,5",1.6851594540205983,7.173850901653599,3.729163686700275
1974-09-16 17:24:11.696|1974-09-16 17:24:15.506|REAPPEARANCE,1974-09-16 17:24:15.506,REAPPEARANCE,Fornax-A,2,4,3,"2,3,4",0.6387580460166903,0.7487591507761562,0.6897514776888664
1974-09-17 03:43:55.577|1974-09-17 03:43:57.502|DISAPPEARANCE,1974-09-17 03:43:57.502,DISAPPEARANCE,Fornax-A,2,4,3,"2,3,4",0.5284931705301138,0.57834498949842,0.5492560389560315
1974-09-17 11:53:56.097|1974-09-17 11:53:59.907|REAPPEARANCE,1974-09-17 11:53:59.907,REAPPEARANCE,Fornax-A,1,5,5,"1,2,3,4,5",1.1781387753708445,2.7266165867955294,1.9439304697666127
1974-09-17 14:49:46.311|1974-09-17 14:49:48.236|DISAPPEARANCE,1974-09-17 14:49:48.236,DISAPPEARANCE,Fornax-A,1,5,5,"1,2,3,4,5",0.7000889972151048,8.343905176384869,2.760801659817088
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|DISAPPEARANCE,1974-09-18 00:00:07.885,DISAPPEARANCE,Fornax-A,1,5,5,"1,2,3,4,5",1.9734594613584264,6.085341341392473,2.940296757829319
1974-09-18 02:41:43.641|1974-09-18 02:41:49.376|REAPPEARANCE,1974-09-18 02:41:49.376,REAPPEARANCE,Fornax-A,3,9,7,"3,4,5,6,7,8,9",0.503463231552541,3.9258532990557997,2.471206154499885
1974-09-18 09:19:28.954|1974-09-18 09:19:30.879|DISAPPEARANCE,1974-09-18 09:19:30.879,DISAPPEARANCE,Fornax-A,1,4,4,"1,2,3,4",0.5791637188569518,1.1418226932083115,0.9310040994375159
1974-09-18 10:05:37.560|1974-09-18 10:05:41.370|REAPPEARANCE,1974-09-18 10:05:41.370,REAPPEARANCE,Fornax-A,1,5,5,"1,2,3,4,5",0.7225499314866672,3.2775001687117933,2.3850953365131615
1974-09-18 16:43:22.800|1974-09-18 16:43:24.725|DISAPPEARANCE,1974-09-18 16:43:24.725,DISAPPEARANCE,Fornax-A,6,9,4,"6,7,8,9",0.6077429938672247,1.997288295284463,1.343441501265721
1974-09-18 21:11:28.322|1974-09-18 21:11:34.057|REAPPEARANCE,1974-09-18 21:11:34.057,REAPPEARANCE,Fornax-A,3,5,3,"3,4,5",0.5259723591593294,0.7078060338922197,0.6465057274067615
1974-09-19 11:13:07.433|1974-09-19 11:13:09.358|DISAPPEARANCE,1974-09-19 11:13:09.358,DISAPPEARANCE,Fornax-A,2,5,4,"2,3,4,5",0.6821348398141746,5.544708190001764,2.373336699247332
1974-09-19 11:59:16.044|1974-09-19 11:59:19.853|REAPPEARANCE,1974-09-19 11:59:19.853,REAPPEARANCE,Fornax-A,1,3,3,"1,2,3",0.596752824510206,1.553162126358304,0.9328864176815892
1974-09-20 05:42:52.374|1974-09-20 05:42:54.299|DISAPPEARANCE,1974-09-20 05:42:54.299,DISAPPEARANCE,Fornax-A,3,5,3,"3,4,5",1.5060415494811832,2.6969246100273825,2.2207632483269557
1974-09-21 15:00:22.722|1974-09-21 15:00:24.647|DISAPPEARANCE,1974-09-21 15:00:24.647,DISAPPEARANCE,Fornax-A,1,3,3,"1,2,3",0.7994792534714473,22.45532487919323,9.091221920346817
1974-09-28 13:27:39.833|1974-09-28 13:27:45.568|DISAPPEARANCE,1974-09-28 13:27:45.568,DISAPPEARANCE,Fornax-A,1,4,4,"1,2,3,4",0.5329908151712879,4.799963221616438,2.254818392545399
1974-09-28 17:55:49.174|1974-09-28 17:55:51.099|REAPPEARANCE,1974-09-28 17:55:51.099,REAPPEARANCE,Fornax-A,1,3,3,"1,2,3",0.5773481740807843,14.468462095647968,5.301670897749266
1974-10-01 15:26:34.172|1974-10-01 15:26:36.097|DISAPPEARANCE,1974-10-01 15:26:36.097,DISAPPEARANCE,Fornax-A,5,7,3,"5,6,7",0.5894914014266353,1.9067865260574672,1.358493092309504
1974-10-02 00:03:52.590|1974-10-02 00:03:53.800|DISAPPEARANCE,1974-10-02 00:03:53.800,DISAPPEARANCE,Fornax-A,3,5,3,"3,4,5",0.6155075778601183,0.9820277539486748,0.7900578256975805
1974-10-02 00:05:09.390|1974-10-02 00:05:10.599|DISAPPEARANCE,1974-10-02 00:05:10.599,DISAPPEARANCE,Fornax-A,4,7,4,"4,5,6,7",0.6209190032800188,5.087451617504495,1.8966138146141223
1974-10-02 00:05:24.750|1974-10-02 00:05:25.959|DISAPPEARANCE,1974-10-02 00:05:25.959,DISAPPEARANCE,Fornax-A,4,7,4,"4,5,6,7",0.8002204526335331,1.6654631969833578,1.2506225537079265
1974-10-02 00:06:41.550|1974-10-02 00:06:42.759|DISAPPEARANCE,1974-10-02 00:06:42.759,DISAPPEARANCE,Fornax-A,6,8,3,"6,7,8",1.0312390073504392,2.435225498324127,1.521301798711035
1974-10-02 00:06:56.194|1974-10-02 00:06:58.119|DISAPPEARANCE,1974-10-02 00:06:58.119,DISAPPEARANCE,Fornax-A,6,8,3,"6,7,8",1.0974408904585389,2.5770825372638315,1.6973698577734613
1974-10-02 00:07:11.553|1974-10-02 00:07:13.478|DISAPPEARANCE,1974-10-02 00:07:13.478,DISAPPEARANCE,Fornax-A,6,8,3,"6,7,8",1.0974408904585389,1.750283977714586,1.3271310190915668
1974-10-02 00:07:27.630|1974-10-02 00:07:28.838|DISAPPEARANCE,1974-10-02 00:07:28.838,DISAPPEARANCE,Fornax-A,6,8,3,"6,7,8",0.9087547778629763,2.194898103034616,1.4134581873045728
1974-10-04 02:37:50.140|1974-10-04 02:37:52.065|DISAPPEARANCE,1974-10-04 02:37:52.065,DISAPPEARANCE,Fornax-A,3,5,3,"3,4,5",0.6205755694999912,5.239879855801755,2.5182704347310847
1974-10-04 21:07:31.381|1974-10-04 21:07:33.306|DISAPPEARANCE,1974-10-04 21:07:33.306,DISAPPEARANCE,Fornax-A,6,8,3,"6,7,8",0.5271851673310001,4.423274101381752,2.1584796429191475
1974-10-05 16:23:21.198|1974-10-05 16:23:23.123|REAPPEARANCE,1974-10-05 16:23:23.123,REAPPEARANCE,Fornax-A,1,3,3,"1,2,3",5.400715389635966,8.392057850199633,6.490538744062282
1974-10-05 20:05:16.088|1974-10-05 20:05:18.013|REAPPEARANCE,1974-10-05 20:05:18.013,REAPPEARANCE,Fornax-A,7,9,3,"7,8,9",0.5433651820156731,1.100340843807831,0.874999877044267
1974-10-05 23:59:59.283|1974-10-06 00:00:01.208|DISAPPEARANCE,1974-10-06 00:00:01.208,DISAPPEARANCE,Fornax-A,6,9,4,"6,7,8,9",2.1821331735330194,8.560080356655691,4.538249424337576
1974-10-09 00:02:11.821|1974-10-09 00:02:14.995|REAPPEARANCE,1974-10-09 00:02:14.995,REAPPEARANCE,Fornax-A,5,7,3,"5,6,7",0.5695039924156385,2.5062033033951265,1.2796733953932262
1974-10-09 00:02:26.545|1974-10-09 00:02:27.181|REAPPEARANCE,1974-10-09 00:02:27.181,REAPPEARANCE,Fornax-A,5,7,3,"5,6,7",0.5695039924156385,2.441257623088554,1.2580248352910355
1974-10-09 00:02:41.904|1974-10-09 00:02:42.541|REAPPEARANCE,1974-10-09 00:02:42.541,REAPPEARANCE,Fornax-A,3,6,4,"3,4,5,6",0.5695039924156385,2.441257623088554,1.1835801967370607
1974-10-09 00:02:57.264|1974-10-09 00:02:57.901|REAPPEARANCE,1974-10-09 00:02:57.901,REAPPEARANCE,Fornax-A,3,5,3,"3,4,5",0.657139223635502,2.441257623088554,1.6096152849184726
1974-10-09 00:03:12.624|1974-10-09 00:03:13.261|REAPPEARANCE,1974-10-09 00:03:13.261,REAPPEARANCE,Fornax-A,3,5,3,"3,4,5",0.657139223635502,1.6633334382955085,1.1951698338643213
1974-10-09 00:05:00.143|1974-10-09 00:05:00.781|REAPPEARANCE,1974-10-09 00:05:00.781,REAPPEARANCE,Fornax-A,3,5,3,"3,4,5",1.597239302790738,3.292148205949377,2.3181334308118813
1974-10-09 23:59:52.946|1974-10-09 23:59:56.756|DISAPPEARANCE,1974-10-09 23:59:56.756,DISAPPEARANCE,Fornax-A,7,9,3,"7,8,9",0.7917423570918967,5.391720475998742,2.6838676215353883
1974-10-10 03:39:35.480|1974-10-10 03:39:37.405|REAPPEARANCE,1974-10-10 03:39:37.405,REAPPEARANCE,Fornax-A,6,9,4,"6,7,8,9",0.7333348647377335,13.022435383563282,4.71506673566868
1974-10-12 17:45:59.208|1974-10-12 17:46:01.133|DISAPPEARANCE,1974-10-12 17:46:01.133,DISAPPEARANCE,Fornax-A,1,5,5,"1,2,3,4,5",0.5774598087763776,4.678954966612695,2.204775730228923
1974-10-19 00:14:34.461|1974-10-19 00:16:57.558|REAPPEARANCE,1974-10-19 00:16:57.558,REAPPEARANCE,Fornax-A,2,4,3,"2,3,4",1.037494172883698,2.0033755500458104,1.3635574139811089
1974-10-22 10:47:31.108|1974-10-22 10:47:33.033|DISAPPEARANCE,1974-10-22 10:47:33.033,DISAPPEARANCE,Fornax-A,1,3,3,"1,2,3",0.8288035984384043,3.774188814760266,2.280557265703563
1974-10-23 17:09:15.140|1974-10-23 17:09:17.065|REAPPEARANCE,1974-10-23 17:09:17.065,REAPPEARANCE,Fornax-A,7,9,3,"7,8,9",0.7720978734467656,3.482174990773361,2.2389106501515124
1974-10-25 00:00:02.386|1974-10-25 00:00:04.311|DISAPPEARANCE,1974-10-25 00:00:04.311,DISAPPEARANCE,Fornax-A,2,5,4,"2,3,4,5",0.76298967796692,10.553464484958228,3.793586358234349
1974-10-25 00:08:18.264|1974-10-25 00:10:41.721|REAPPEARANCE,1974-10-25 00:10:41.721,REAPPEARANCE,Fornax-A,1,4,4,"1,2,3,4",0.5471887285863759,16.004747595358065,4.889875020768301
1974-10-26 00:07:15.340|1974-10-26 00:09:38.873|DISAPPEARANCE,1974-10-26 00:09:38.873,DISAPPEARANCE,Fornax-A,1,3,3,"1,2,3",1.9405940854569772,8.529231850142718,4.1379103414900715
1974-10-27 20:14:54.836|1974-10-27 20:14:56.761|DISAPPEARANCE,1974-10-27 20:14:56.761,DISAPPEARANCE,Fornax-A,7,9,3,"7,8,9",1.1243526294045456,1.5388141815437526,1.3037086104722688
1974-10-29 09:14:15.859|1974-10-29 09:14:19.669|DISAPPEARANCE,1974-10-29 09:14:19.669,DISAPPEARANCE,Fornax-A,1,3,3,"1,2,3",0.7083231601974455,3.3771547995591815,1.6772260215577983
1974-10-29 20:20:04.496|1974-10-29 20:20:06.421|DISAPPEARANCE,1974-10-29 20:20:06.421,DISAPPEARANCE,Fornax-A,6,8,3,"6,7,8",0.5684848114753065,0.9901716336711976,0.8178085268970099
1974-11-02 20:30:09.346|1974-11-02 20:30:11.271|DISAPPEARANCE,1974-11-02 20:30:11.271,DISAPPEARANCE,Fornax-A,6,9,4,"6,7,8,9",0.7126629293884825,4.761696998239843,2.423424282749415
1974-11-05 00:16:24.426|1974-11-05 00:18:48.832|DISAPPEARANCE,1974-11-05 00:18:48.832,DISAPPEARANCE,Fornax-A,2,6,5,"2,3,4,5,6",0.5231746796019908,5.565313370651415,1.986795058323834
1974-11-06 13:16:03.937|1974-11-06 13:16:05.862|DISAPPEARANCE,1974-11-06 13:16:05.862,DISAPPEARANCE,Fornax-A,2,4,3,"2,3,4",0.5585091296331921,6.1558409399686305,4.0375333482826035
1974-11-06 14:02:25.957|1974-11-06 14:02:27.882|REAPPEARANCE,1974-11-06 14:02:27.882,REAPPEARANCE,Fornax-A,5,7,3,"5,6,7",5.803113316539702,9.96327317975177,7.68876111947701
1974-11-08 17:49:13.024|1974-11-08 17:49:16.834|REAPPEARANCE,1974-11-08 17:49:16.834,REAPPEARANCE,Fornax-A,1,3,3,"1,2,3",1.6464337024114095,2.6022193916426115,2.0380207303404876
1974-11-10 23:59:51.755|1974-11-10 23:59:53.680|DISAPPEARANCE,1974-11-10 23:59:53.680,DISAPPEARANCE,Fornax-A,2,5,4,"2,3,4,5",0.5689035840154274,1.048482786392888,0.7669336923783607
1974-11-13 00:00:04.942|1974-11-13 00:00:06.867|DISAPPEARANCE,1974-11-13 00:00:06.867,DISAPPEARANCE,Fornax-A,2,5,4,"2,3,4,5",0.9508218422396797,1.6619971649323515,1.3113949113049284
1974-11-16 23:59:52.147|1974-11-16 23:59:54.072|DISAPPEARANCE,1974-11-16 23:59:54.072,DISAPPEARANCE,Fornax-A,3,5,3,"3,4,5",0.8108829930300625,1.9549359456409015,1.5269145272394598
1974-11-18 02:39:38.921|1974-11-18 02:39:40.846|DISAPPEARANCE,1974-11-18 02:39:40.846,DISAPPEARANCE,Fornax-A,1,3,3,"1,2,3",0.9266937266268835,6.345624959243915,4.383238271880263
1974-11-18 10:03:32.293|1974-11-18 10:03:34.218|DISAPPEARANCE,1974-11-18 10:03:34.218,DISAPPEARANCE,Fornax-A,1,4,4,"1,2,3,4",1.0400183597987482,6.276079326316939,3.1447265831889033
1974-11-18 13:45:28.902|1974-11-18 13:45:30.827|DISAPPEARANCE,1974-11-18 13:45:30.827,DISAPPEARANCE,Fornax-A,2,7,6,"2,3,4,5,6,7",2.41825062210136,6.014230111721597,3.863990493559547
